label,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
2,0.596314,0.767303,0.266144,0.838363,0.366317,0.778611,0.465105,0.734234,0.540761,0.689340,0.347306,0.575732,0.322692,0.441624,0.306956,0.336145,0.287022,0.251225,0.525930,0.491705,0.492387,0.356478,0.453505,0.235420,0.432062,0.147971,0.969184,0.655575,0.990000,0.643703,0.990000,0.631419,0.990000,0.624134,0.990000,0.723440,0.990000,0.737446,0.990000,0.758406,0.990000,0.767104
4,0.481121,0.518942,0.010000,0.479371,0.010000,0.437008,0.010000,0.398927,0.163764,0.041567,0.311304,0.271105,0.336105,0.134054,0.349438,0.031615,0.359641,0.010000,0.653704,0.532563,0.775800,0.611122,0.876914,0.671795,0.954084,0.722269,0.843356,0.560528,0.960703,0.622233,0.990000,0.675202,0.990000,0.720414,0.990000,0.552672,0.990000,0.560687,0.990000,0.574057,0.990000,0.571952
1,0.631804,0.357534,0.222954,0.473996,0.291810,0.346488,0.345266,0.241843,0.393080,0.144253,0.308898,0.182488,0.258576,0.033600,0.210736,0.010000,0.178039,0.010000,0.822007,0.290329,0.990000,0.316841,0.990000,0.333722,0.990000,0.345037,0.990000,0.189197,0.990000,0.187375,0.990000,0.174368,0.990000,0.174117,0.990000,0.147981,0.990000,0.120773,0.990000,0.101374,0.990000,0.078567
3,0.407324,0.730334,0.010000,0.749558,0.010000,0.717933,0.010000,0.700067,0.010000,0.677499,0.214056,0.489377,0.215577,0.364777,0.215934,0.258236,0.224819,0.171383,0.397951,0.453662,0.395234,0.303965,0.400532,0.195926,0.395110,0.099711,0.621863,0.500602,0.637144,0.368078,0.639624,0.272636,0.645954,0.181238,0.816765,0.591032,0.853017,0.479783,0.872927,0.397974,0.896201,0.329757
4,0.348641,0.593595,0.010000,0.785496,0.010000,0.781270,0.010000,0.774744,0.010000,0.213888,0.052635,0.382876,0.016165,0.235381,0.010000,0.116654,0.010000,0.012252,0.543287,0.542001,0.709353,0.585219,0.836337,0.618443,0.944592,0.646492,0.768877,0.505437,0.917581,0.537940,0.990000,0.566549,0.990000,0.581712,0.947379,0.447362,0.990000,0.418837,0.990000,0.396702,0.990000,0.379240
4,0.410499,0.498921,0.010000,0.351727,0.010000,0.284203,0.010000,0.221560,0.196099,0.010000,0.283464,0.235815,0.307939,0.126121,0.339226,0.032476,0.362936,0.010000,0.589508,0.494378,0.714257,0.551352,0.809689,0.596961,0.890833,0.635482,0.727274,0.601073,0.821450,0.683326,0.890429,0.749214,0.952790,0.802593,0.880345,0.627270,0.987040,0.653621,0.990000,0.676229,0.990000,0.698915
0,0.592172,0.368541,0.218298,0.321052,0.323673,0.258029,0.415307,0.195503,0.497729,0.142561,0.549140,0.372902,0.683297,0.423184,0.781215,0.468613,0.871352,0.502512,0.786944,0.350505,0.936842,0.408354,0.990000,0.459321,0.990000,0.493539,0.990000,0.396328,0.990000,0.455950,0.990000,0.503851,0.990000,0.548646,0.990000,0.437731,0.990000,0.476335,0.990000,0.503795,0.990000,0.531804
4,0.437687,0.370219,0.010000,0.404625,0.010000,0.366932,0.010000,0.329830,0.059839,0.010000,0.220285,0.143224,0.212354,0.015777,0.201027,0.010000,0.203155,0.010000,0.606154,0.344235,0.747480,0.381726,0.861448,0.424968,0.945098,0.454067,0.807227,0.311764,0.936649,0.327849,0.990000,0.337793,0.990000,0.337731,0.953361,0.375555,0.990000,0.404594,0.990000,0.425325,0.990000,0.441405
3,0.364184,0.599584,0.010000,0.781323,0.010000,0.785046,0.010000,0.780607,0.010000,0.779248,0.075193,0.386878,0.046548,0.238892,0.024987,0.124493,0.010000,0.020224,0.323436,0.283683,0.310632,0.112551,0.296967,0.010000,0.292513,0.010000,0.529568,0.282958,0.488959,0.132982,0.464379,0.020678,0.436412,0.010000,0.777756,0.329382,0.760962,0.196873,0.755849,0.099913,0.747695,0.010000
2,0.366873,0.546506,0.055240,0.570213,0.118001,0.494041,0.179232,0.424386,0.230117,0.368469,0.140079,0.372409,0.106628,0.264751,0.085782,0.173738,0.068452,0.099760,0.330074,0.304939,0.322638,0.172666,0.309501,0.071093,0.290979,0.010000,0.696718,0.479778,0.814190,0.489792,0.899788,0.505048,0.977265,0.506038,0.828870,0.473577,0.928311,0.456708,0.990000,0.443274,0.990000,0.435604
1,0.430735,0.308698,0.054755,0.267235,0.161822,0.197053,0.260022,0.133309,0.338500,0.079627,0.239493,0.043011,0.266814,0.010000,0.281037,0.010000,0.295508,0.010000,0.635836,0.272760,0.793406,0.322385,0.914451,0.364659,0.990000,0.396667,0.851913,0.270777,0.990000,0.283824,0.990000,0.294659,0.990000,0.304400,0.990000,0.360097,0.990000,0.397954,0.990000,0.426051,0.990000,0.452921
1,0.477681,0.504645,0.135875,0.345339,0.242787,0.297329,0.343493,0.263073,0.425168,0.227161,0.359606,0.216017,0.410402,0.084181,0.448028,0.010000,0.488998,0.010000,0.643835,0.562885,0.749640,0.673650,0.833919,0.761935,0.894878,0.828485,0.824697,0.649130,0.920960,0.748501,0.989228,0.828052,0.990000,0.893349,0.975164,0.723136,0.990000,0.787868,0.990000,0.833366,0.990000,0.880133
3,0.545249,0.757192,0.010000,0.545175,0.010000,0.472845,0.010000,0.410475,0.010000,0.363068,0.413782,0.449274,0.449976,0.324259,0.477124,0.222910,0.493025,0.139590,0.649528,0.492731,0.709267,0.360890,0.759102,0.253759,0.795793,0.166711,0.859801,0.627082,0.928300,0.513799,0.990000,0.434175,0.990000,0.354965,0.990000,0.783551,0.990000,0.689631,0.990000,0.625904,0.990000,0.563343
4,0.463341,0.453206,0.010000,0.645405,0.010000,0.644780,0.010000,0.650490,0.041521,0.167263,0.230397,0.312198,0.202646,0.198584,0.174438,0.111895,0.157190,0.036127,0.607414,0.344943,0.735775,0.325597,0.842588,0.306646,0.925483,0.295181,0.777321,0.346108,0.894282,0.352590,0.990000,0.347918,0.990000,0.353422,0.918502,0.332889,0.990000,0.324560,0.990000,0.315456,0.990000,0.313161
3,0.574974,0.576361,0.010000,0.678030,0.010000,0.647595,0.010000,0.617239,0.010000,0.588677,0.326595,0.357946,0.322500,0.211768,0.308479,0.103358,0.303915,0.010000,0.510838,0.280281,0.476278,0.127268,0.447638,0.010000,0.424918,0.010000,0.788401,0.291110,0.795146,0.144355,0.796995,0.033395,0.792885,0.010000,0.990000,0.362430,0.990000,0.234726,0.990000,0.137147,0.990000,0.059210
1,0.618750,0.754146,0.323134,0.745834,0.424764,0.713153,0.510037,0.682859,0.580550,0.654619,0.457267,0.541019,0.474124,0.435609,0.492720,0.342191,0.501508,0.269286,0.775250,0.722719,0.900565,0.763879,0.990000,0.790942,0.990000,0.808100,0.931666,0.779920,0.990000,0.828974,0.990000,0.875933,0.990000,0.905409,0.990000,0.816134,0.990000,0.859050,0.990000,0.891010,0.990000,0.915723
1,0.495338,0.303364,0.133102,0.440743,0.227403,0.338432,0.303515,0.255746,0.383535,0.179912,0.160063,0.143744,0.091267,0.010000,0.032285,0.010000,0.010000,0.010000,0.681875,0.190991,0.846691,0.179857,0.985442,0.170044,0.990000,0.163991,0.894155,0.118594,0.990000,0.085862,0.990000,0.065155,0.990000,0.045458,0.990000,0.108800,0.990000,0.077415,0.990000,0.056510,0.990000,0.030491
3,0.580357,0.452292,0.010000,0.665073,0.010000,0.644208,0.010000,0.631537,0.010000,0.620515,0.275657,0.275049,0.221466,0.140038,0.184586,0.032514,0.155351,0.010000,0.489280,0.150618,0.454080,0.010000,0.418054,0.010000,0.393951,0.010000,0.719584,0.125492,0.680609,0.010000,0.658446,0.010000,0.630317,0.010000,0.963474,0.152555,0.955139,0.018591,0.939995,0.010000,0.935714,0.010000
2,0.329352,0.517418,0.010000,0.494858,0.011281,0.405176,0.101492,0.317387,0.178058,0.250343,0.085432,0.248495,0.091715,0.091957,0.093826,0.010000,0.094518,0.010000,0.316412,0.182083,0.310461,0.010000,0.302443,0.010000,0.299210,0.010000,0.779039,0.469095,0.933398,0.499757,0.990000,0.521930,0.990000,0.540734,0.961656,0.528857,0.990000,0.564357,0.990000,0.589266,0.990000,0.617314
3,0.418489,0.723721,0.010000,0.952564,0.010000,0.943885,0.010000,0.939477,0.010000,0.928724,0.104191,0.566242,0.042049,0.434677,0.010000,0.330542,0.010000,0.246944,0.291657,0.445625,0.220396,0.301188,0.164764,0.186163,0.125531,0.091776,0.565813,0.400157,0.533306,0.255005,0.511995,0.149639,0.491340,0.049216,0.773661,0.425349,0.740511,0.305571,0.709733,0.204604,0.695082,0.128523
1,0.341721,0.336245,0.028216,0.463602,0.117879,0.383936,0.188515,0.309984,0.255243,0.251454,0.067339,0.189386,0.018587,0.069369,0.010000,0.010000,0.010000,0.010000,0.500593,0.245880,0.640926,0.227777,0.760225,0.223815,0.852184,0.216234,0.684235,0.186998,0.816064,0.170187,0.917402,0.150807,0.990000,0.146437,0.837024,0.175504,0.951536,0.156166,0.990000,0.141287,0.990000,0.131251
2,0.546411,0.529637,0.252878,0.566824,0.337407,0.504342,0.420244,0.462480,0.480940,0.415672,0.366384,0.352982,0.364598,0.238896,0.356376,0.142885,0.359417,0.070308,0.531242,0.287437,0.518858,0.163037,0.518628,0.058492,0.514835,0.010000,0.871895,0.461331,0.990000,0.459210,0.990000,0.458206,0.990000,0.459076,0.990000,0.477143,0.990000,0.475533,0.990000,0.465229,0.990000,0.468513
4,0.441008,0.440499,0.010000,0.617457,0.010000,0.616299,0.010000,0.617593,0.021899,0.151933,0.201744,0.300562,0.173615,0.189623,0.143422,0.101339,0.121916,0.023294,0.584100,0.353263,0.715400,0.338096,0.816574,0.323588,0.901786,0.318357,0.748307,0.298406,0.861942,0.276758,0.953525,0.257953,0.990000,0.242911,0.897331,0.324918,0.990000,0.326429,0.990000,0.323578,0.990000,0.320646
1,0.405533,0.652961,0.096669,0.565621,0.206993,0.539110,0.298083,0.513602,0.380278,0.495898,0.277348,0.397190,0.316822,0.274238,0.341838,0.184682,0.368863,0.108511,0.583435,0.646415,0.702380,0.712948,0.801453,0.757818,0.878911,0.793244,0.739008,0.731857,0.837256,0.795041,0.925113,0.851983,0.990000,0.891200,0.873650,0.778421,0.977329,0.821671,0.990000,0.849300,0.990000,0.875775
4,0.616467,0.391334,0.010000,0.662390,0.010000,0.663038,0.010000,0.656797,0.010000,0.091563,0.277608,0.228390,0.217157,0.086663,0.172485,0.010000,0.127904,0.010000,0.802966,0.254362,0.976223,0.224076,0.990000,0.202489,0.990000,0.179226,0.990000,0.243235,0.990000,0.245763,0.990000,0.248294,0.990000,0.250916,0.990000,0.185201,0.990000,0.158050,0.990000,0.138169,0.990000,0.118075
0,0.678555,0.709692,0.326821,0.773287,0.407866,0.686357,0.479065,0.609289,0.538311,0.543393,0.639109,0.709478,0.775991,0.712259,0.881842,0.718519,0.978395,0.719421,0.841364,0.672878,0.990000,0.724501,0.990000,0.756253,0.990000,0.780831,0.990000,0.570486,0.990000,0.553432,0.990000,0.542861,0.990000,0.525270,0.990000,0.615328,0.990000,0.627905,0.990000,0.631275,0.990000,0.637531
3,0.378494,0.399377,0.010000,0.401492,0.010000,0.358732,0.010000,0.320186,0.010000,0.289779,0.157732,0.138067,0.151506,0.010000,0.147876,0.010000,0.148289,0.010000,0.422315,0.094440,0.447511,0.010000,0.469881,0.010000,0.487552,0.010000,0.632269,0.153679,0.659833,0.010354,0.672464,0.010000,0.686481,0.010000,0.839653,0.254824,0.870829,0.130061,0.897444,0.035219,0.912297,0.010000
0,0.510662,0.309563,0.167167,0.222305,0.281320,0.183335,0.384434,0.156284,0.471752,0.126133,0.475833,0.290211,0.595631,0.350473,0.689631,0.398880,0.770665,0.436909,0.688405,0.332030,0.813367,0.418838,0.907418,0.480810,0.990000,0.539378,0.870347,0.404387,0.980431,0.486787,0.990000,0.547786,0.990000,0.605539,0.990000,0.453873,0.990000,0.498594,0.990000,0.538116,0.990000,0.572042
1,0.333283,0.444019,0.010000,0.256122,0.089534,0.214380,0.200279,0.185552,0.302901,0.149273,0.217926,0.107881,0.291041,0.010000,0.336820,0.010000,0.382890,0.010000,0.516828,0.521830,0.630458,0.653596,0.720314,0.762987,0.794231,0.844302,0.732018,0.619874,0.841931,0.726979,0.930371,0.818386,0.990000,0.895892,0.896086,0.708137,0.990000,0.789400,0.990000,0.853487,0.990000,0.900706
0,0.490713,0.381640,0.162424,0.382020,0.267508,0.338370,0.363245,0.298356,0.443706,0.275643,0.444366,0.395734,0.564211,0.447060,0.648742,0.492028,0.728561,0.524383,0.646768,0.396574,0.773487,0.470923,0.868184,0.532927,0.949012,0.574704,0.858035,0.359790,0.983841,0.379872,0.990000,0.389523,0.990000,0.407681,0.990000,0.407571,0.990000,0.421553,0.990000,0.432823,0.990000,0.438411
3,0.539102,0.430639,0.010000,0.341193,0.010000,0.303238,0.010000,0.254674,0.010000,0.225763,0.360944,0.164014,0.368386,0.029472,0.379428,0.010000,0.390375,0.010000,0.608376,0.166092,0.656250,0.024242,0.689470,0.010000,0.709535,0.010000,0.812352,0.244868,0.849271,0.116639,0.881608,0.019513,0.910151,0.010000,0.984201,0.376704,0.990000,0.277542,0.990000,0.196895,0.990000,0.128858
3,0.463662,0.559757,0.010000,0.304677,0.010000,0.205905,0.010000,0.123813,0.010000,0.046221,0.323777,0.211591,0.370826,0.062170,0.407804,0.010000,0.437179,0.010000,0.608699,0.257785,0.680948,0.102450,0.744155,0.010000,0.798976,0.010000,0.837893,0.409241,0.928619,0.283994,0.990000,0.185614,0.990000,0.097654,0.988479,0.578647,0.990000,0.467556,0.990000,0.375882,0.990000,0.302793
3,0.603816,0.364230,0.010000,0.546335,0.010000,0.540371,0.010000,0.536010,0.010000,0.529477,0.330582,0.180688,0.297681,0.043664,0.263842,0.010000,0.242414,0.010000,0.529180,0.076729,0.487181,0.010000,0.454891,0.010000,0.433824,0.010000,0.791442,0.059913,0.792039,0.010000,0.785833,0.010000,0.786564,0.010000,0.986080,0.105535,0.990000,0.010000,0.990000,0.010000,0.990000,0.010000
1,0.379312,0.332992,0.010000,0.390472,0.029585,0.274925,0.105022,0.171787,0.171057,0.089080,0.053598,0.113676,0.015287,0.010000,0.010000,0.010000,0.010000,0.010000,0.573378,0.297047,0.743599,0.352757,0.883372,0.396439,0.990000,0.423848,0.815862,0.230400,0.977752,0.243523,0.990000,0.262803,0.990000,0.272794,0.990000,0.209833,0.990000,0.197129,0.990000,0.182184,0.990000,0.173513
1,0.626634,0.745477,0.281134,0.713512,0.360519,0.636047,0.439415,0.577116,0.500058,0.522506,0.400248,0.524082,0.379324,0.396990,0.371873,0.292751,0.357085,0.214377,0.807925,0.697597,0.944077,0.719442,0.990000,0.742105,0.990000,0.759497,0.989712,0.722069,0.990000,0.740381,0.990000,0.763577,0.990000,0.776535,0.990000,0.768494,0.990000,0.794437,0.990000,0.814456,0.990000,0.828307
2,0.656587,0.400838,0.346038,0.381655,0.452046,0.354278,0.543176,0.319094,0.615640,0.298336,0.485750,0.175702,0.504604,0.049207,0.508117,0.010000,0.522944,0.010000,0.688642,0.145495,0.704569,0.011096,0.725894,0.010000,0.732313,0.010000,0.990000,0.402666,0.990000,0.428632,0.990000,0.452518,0.990000,0.476278,0.990000,0.457138,0.990000,0.488428,0.990000,0.513247,0.990000,0.530177
3,0.364436,0.405753,0.010000,0.413344,0.010000,0.375076,0.010000,0.346096,0.010000,0.318626,0.156103,0.152081,0.153209,0.019066,0.148475,0.010000,0.152635,0.010000,0.379191,0.113022,0.397652,0.010000,0.409272,0.010000,0.412358,0.010000,0.597004,0.161665,0.611883,0.020499,0.629528,0.010000,0.631458,0.010000,0.780860,0.259376,0.796873,0.134945,0.814307,0.040068,0.816918,0.010000
4,0.673666,0.450741,0.068213,0.512332,0.010000,0.468257,0.010000,0.425473,0.265717,0.047202,0.458291,0.237730,0.455412,0.105723,0.454924,0.010000,0.452033,0.010000,0.847527,0.429650,0.983282,0.475142,0.990000,0.515885,0.990000,0.543402,0.990000,0.415388,0.990000,0.443929,0.990000,0.467616,0.990000,0.483543,0.990000,0.440408,0.990000,0.460265,0.990000,0.478029,0.990000,0.488957
2,0.632449,0.549621,0.251459,0.457844,0.370723,0.410457,0.480639,0.363309,0.570893,0.335055,0.457849,0.247250,0.486682,0.106328,0.508458,0.010000,0.525794,0.010000,0.721704,0.252287,0.771722,0.097237,0.818732,0.010000,0.858812,0.010000,0.990000,0.642697,0.990000,0.730716,0.990000,0.793593,0.990000,0.849209,0.990000,0.709649,0.990000,0.766915,0.990000,0.815939,0.990000,0.859407
3,0.587039,0.532404,0.022560,0.391708,0.010000,0.319158,0.010000,0.253743,0.010000,0.198447,0.450543,0.265034,0.484365,0.142697,0.509357,0.046822,0.534892,0.010000,0.636970,0.266158,0.661162,0.125340,0.678387,0.020060,0.690305,0.010000,0.862378,0.367528,0.909706,0.248120,0.953228,0.155176,0.981387,0.083280,0.985847,0.480414,0.990000,0.374361,0.990000,0.290796,0.990000,0.216250
2,0.397594,0.371095,0.010000,0.263258,0.129524,0.220264,0.253274,0.178603,0.357635,0.150234,0.198317,0.031846,0.216345,0.010000,0.229630,0.010000,0.239548,0.010000,0.496154,0.039136,0.544865,0.010000,0.591761,0.010000,0.623063,0.010000,0.845869,0.462835,0.985466,0.545819,0.990000,0.601715,0.990000,0.655272,0.990000,0.539466,0.990000,0.590148,0.990000,0.633138,0.990000,0.668592
1,0.469173,0.529761,0.118329,0.667241,0.213169,0.578701,0.297165,0.491948,0.361965,0.424264,0.158577,0.367790,0.101286,0.227352,0.061663,0.116457,0.028120,0.023119,0.653919,0.410123,0.811908,0.389904,0.952242,0.377107,0.990000,0.366449,0.862816,0.381063,0.990000,0.368401,0.990000,0.362509,0.990000,0.358512,0.990000,0.380897,0.990000,0.376834,0.990000,0.376383,0.990000,0.378087
